Ranking Position,Name,Author,Link,Price
#87,LA HERMANDAD DE LAS MALAS HIJAS,"MONTFORT, VANESSA",https://cuspide.com/producto/la-hermandad-de-las-malas-hijas/,1379900.0
#88,ROMA SOY YO,"POSTEGUILLO, SANTIAGO",https://cuspide.com/producto/roma-soy-yo/,2779900.0
#89,CORONADOS DE GLORIA,,https://cuspide.com/producto/coronados-de-gloria-2/,3240000.0
#90,"PADRE RICO , PADRE POBRE (25 A/OS)","KIYOSAKI, ROBERT",https://cuspide.com/producto/padre-rico-padre-pobre-25-a-os/,1089900.0
#91,2. FIVE NIGHTS AT FREDDY'S ( ESCALOFRIOS DE FAZBEAR ),"CAWTHON, SCOTT",https://cuspide.com/producto/2-five-nights-at-freddys-escalofrios-de-fazbear/,1279900.0
#92,LAS HIJAS DE LA CRIADA,"ONEGA, SONSOLES",https://cuspide.com/producto/las-hijas-de-la-criada/,1810000.0
#93,EL SUTIL ARTE DE QUE ( CASI TODO ) TE IMPORTE UNA MIERDA,"MANSON, MARK",https://cuspide.com/producto/el-sutil-arte-de-que-casi-todo-te-importe-una-mierda/,1090000.0
#94,"MUCHAS VIDAS , MUCHOS MAESTROS","WEISS, BRIAN",https://cuspide.com/producto/muchas-vidas-muchos-maestros-2/,949900.0
#95,TESIS SOBRE UNA DOMESTICACION,"SOSA VILLADA, CAMILA",https://cuspide.com/producto/tesis-sobre-una-domesticacion/,1850000.0
#96,POLITEIA,"DELGADO, FEDERICO",https://cuspide.com/producto/politeia-2/,1350000.0
#97,EL VUELO DE LA LIBELULA,"EXILART, GABRIELA",https://cuspide.com/producto/el-vuelo-de-la-libelula/,1299900.0
#98,TRILOGIA,"FOSSE, JON",https://cuspide.com/producto/trilogia/,1160000.0
#99,LA NATURALEZA SECRETA DE LAS COSAS DE ESTE MUNDO,"PRON, PATRICIO",https://cuspide.com/producto/la-naturaleza-secreta-de-las-cosas-de-este-mundo/,980000.0
#100,EL SECRETO DE PARIS,"LESTER, NATASHA",https://cuspide.com/producto/el-secreto-de-paris/,1390000.0
